timestamp,dam_lbmp_mwh,dam_losses_mwh,dam_congestion_mwh,dam_lbmp_kwh,date,is_weekend,rt_lbmp_mwh,rt_losses_mwh,rt_congestion_mwh,rt_lbmp_kwh,rt_lbmp_std_mwh,rt_lbmp_min_mwh,rt_lbmp_max_mwh,da_rt_spread_mwh,hour_sin,hour_cos,dow_sin,dow_cos,temperature_2m,apparent_temperature,relative_humidity_2m,dew_point_2m,wind_speed_10m,wind_gusts_10m,cloud_cover,shortwave_radiation,precipitation,pressure_msl,is_day,cooling_degree_hours,heating_degree_hours,is_hot,is_very_hot,is_cold,is_very_cold,humidity_discomfort,solar_generation_proxy,wind_power_proxy,temp_change_1h,temp_change_3h,temp_rolling_6h_mean,temp_rolling_24h_mean,temp_rolling_24h_max,day_of_year,temp_anomaly,hour,day_of_week,month
2025-01-01 00:00:00,37.11,1.43,-3.82,0.03711,2025-01-01,0,46.24272727272727,1.76,-2.929090909090909,0.0462427272727272,3.503940898214725,39.89,49.07,9.132727272727273,0.0,1.0,0.9749279121818236,-0.2225209339563143,45.6,39.5,94,44.0,10.7,22.4,100,0.0,0.146,1000.4,0,0.0,19.4,0,0,0,0,0.0,0.0,0.04537196296296295,,,45.6,45.6,45.6,1,17.197983870967747,0,2,1
2025-01-01 01:00:00,36.22,1.45,-3.96,0.03622,2025-01-01,0,41.76857142857143,1.7,-2.0664285714285717,0.0417685714285714,5.659901952321268,36.25,48.06,5.548571428571428,0.2588190451025207,0.9659258262890684,0.9749279121818236,-0.2225209339563143,46.8,41.8,96,45.8,9.3,23.7,100,0.0,0.035,998.9,0,0.0,18.200000000000003,0,0,0,0,0.0,0.0,0.029790999999999998,1.1999999999999957,,46.2,46.2,46.8,1,18.397983870967742,1,2,1
2025-01-01 02:00:00,34.4,1.39,-4.15,0.0344,2025-01-01,0,40.028333333333336,1.4941666666666666,-2.2808333333333333,0.0400283333333333,2.7476165980167213,36.39,43.28,5.628333333333337,0.4999999999999999,0.8660254037844387,0.9749279121818236,-0.2225209339563143,47.6,44.7,97,46.7,4.8,18.1,100,0.0,0.0,997.7,0,0.0,17.4,0,0,0,0,0.0,0.0,0.004096000000000001,0.8000000000000043,,46.666666666666664,46.666666666666664,47.6,1,19.197983870967747,2,2,1
2025-01-01 03:00:00,28.42,1.15,-0.01,0.02842,2025-01-01,0,36.63166666666667,1.2416666666666667,-2.7675,0.0366316666666666,0.5666942952266457,36.19,37.62,8.211666666666666,0.7071067811865475,0.7071067811865476,0.9749279121818236,-0.2225209339563143,48.0,45.1,99,47.7,5.4,10.1,100,0.0,0.0,997.2,0,0.0,17.0,0,0,0,0,0.0,0.0,0.005832000000000002,0.3999999999999986,2.3999999999999986,47.0,47.0,48.0,1,19.597983870967745,3,2,1
2025-01-01 04:00:00,28.31,1.11,-0.01,0.02831,2025-01-01,0,37.6275,1.2266666666666666,-2.5625,0.0376275,1.0706338394529735,36.44,39.36,9.3175,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.2225209339563143,48.0,45.1,98,47.6,5.5,10.3,100,0.0,0.0,997.1,0,0.0,17.0,0,0,0,0,0.0,0.0,0.006162037037037035,0.0,1.2000000000000028,47.2,47.2,48.0,1,19.597983870967745,4,2,1
2025-01-01 05:00:00,32.35,1.31,-1.96,0.03235,2025-01-01,0,35.439166666666665,1.19,-3.235,0.0354391666666666,1.4411892711061636,34.62,39.57,3.089166666666664,0.9659258262890684,0.2588190451025207,0.9749279121818236,-0.2225209339563143,47.0,43.5,99,46.7,6.2,11.6,100,0.0,0.0,996.9,0,0.0,18.0,0,0,0,0,0.0,0.0,0.008826962962962964,-1.0,-0.6000000000000014,47.166666666666664,47.166666666666664,48.0,1,18.597983870967745,5,2,1
2025-01-01 06:00:00,31.17,1.4,-0.01,0.03117,2025-01-01,0,33.52,1.2333333333333334,-2.8633333333333333,0.03352,2.1766070343123927,27.11,34.7,2.3500000000000014,1.0,6.123233995736766e-17,0.9749279121818236,-0.2225209339563143,46.5,41.5,97,45.6,9.1,18.1,38,0.0,0.0,997.0,0,0.0,18.5,0,0,0,0,0.0,0.0,0.02791003703703704,-0.5,-1.5,47.31666666666666,47.07142857142857,48.0,1,18.097983870967745,6,2,1
2025-01-01 07:00:00,35.29,1.66,-4.0,0.03529,2025-01-01,0,27.293333333333333,1.015,-4.3625,0.0272933333333333,2.226172146138393,22.44,31.18,-7.996666666666666,0.9659258262890684,-0.2588190451025206,0.9749279121818236,-0.2225209339563143,43.9,38.5,96,42.9,8.6,18.6,21,0.0,0.0,997.5,0,0.0,21.1,0,0,0,0,0.0,0.0,0.023557629629629633,-2.6000000000000014,-4.100000000000001,46.833333333333336,46.675,48.0,1,15.497983870967744,7,2,1
2025-01-01 08:00:00,37.13,1.79,-3.45,0.03713,2025-01-01,0,23.7125,0.9041666666666668,-4.9750000000000005,0.0237125,5.919017309409637,16.03,32.05,-13.4175,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.2225209339563143,41.6,36.0,96,40.5,7.8,17.4,11,0.0,0.0,997.9,0,0.0,23.4,0,0,0,0,0.0,0.0,0.017576,-2.299999999999997,-5.399999999999999,45.833333333333336,46.111111111111114,48.0,1,13.197983870967747,8,2,1
2025-01-01 09:00:00,37.64,1.88,-3.38,0.03764,2025-01-01,0,26.7875,0.9133333333333334,-4.4383333333333335,0.0267875,0.8039236169053514,24.24,27.13,-10.852500000000004,0.7071067811865476,-0.7071067811865475,0.9749279121818236,-0.2225209339563143,44.6,39.8,96,43.6,7.7,14.8,18,12.0,0.0,998.9,1,0.0,20.4,0,0,0,0,0.0,12.0,0.016908629629629628,3.0,-1.8999999999999986,45.26666666666667,45.96,48.0,1,16.197983870967747,9,2,1
